Sheet,Key,English,Japanese
Game,Card.Card_Bounty_Hunter.Name,Bounty Hunter,賞金稼ぎ
Game,Card.Card_Bounty_Hunter.Desc,"Every line clear grants +1 Blockcoin, but all future Milestone targets rise by 20%.",ライン消去ごとに +1 Blockcoin。ただし以降の目標スコアが 20% 上がります。
Game,Card.Card_Card_Collector.Name,Card Collector,カードコレクター
Game,Card.Card_Card_Collector.Desc,Each card you own adds +0.02 to your global score multiplier.,所持カード 1 枚につき、全体スコア倍率が +0.02 されます。
Game,Card.Card_Center_Base.Name,Center Base,センターベース
Game,Card.Card_Center_Base.Desc,Each tile placed in the center 2x2 area grants +4 points.,中央 2x2 エリアに置いたブロック 1 つにつき +4 点。
Game,Card.Card_Chain_Master.Name,Chain Master,チェインマスター
Game,Card.Card_Chain_Master.Desc,Each consecutive clear permanently adds +0.02 to your combo gain.,連続でラインを消すたび、コンボ増加量が永続的に +0.02 されます。
Game,Card.Card_Combo_Shield.Name,Combo Shield,コンボシールド
Game,Card.Card_Combo_Shield.Desc,"Once per run, your combo survives when the charge bar empties.",1 ラン中 1 回、ゲージが空になってもコンボが維持されます。
Game,Card.Card_Corner_Stone.Name,Corner Stone,コーナーストーン
Game,Card.Card_Corner_Stone.Desc,Each tile placed on one of the four corners grants +3 points.,四隅のいずれかに置いたブロック 1 つにつき +3 点。
Game,Card.Card_Decaying_Rift.Name,Decaying Rift,崩壊する亀裂
Game,Card.Card_Decaying_Rift.Desc,"Every 7 shapes, a rift opens with a 5-placement countdown. Clear it for +2 pool shapes; let it hit 0 and the tile is blocked for the rest of the Milestone.",7 個ごとに亀裂が出現し、5 手のカウントダウンが始まります。消せば +2 ブロック、0 になるとその目標が終わるまでマスが封鎖されます。
Game,Card.Diet_plan.Name,Diet Plan,ダイエット計画
Game,Card.Diet_plan.Desc,"This Milestone only spawns size 2-3 shapes, but their scores drop by 20%.",この目標では 2〜3 マスのブロックのみ出現しますが、得点が 20% 下がります。
Game,Card.Card_Double_Strike.Name,Double Strike,ダブルストライク
Game,Card.Card_Double_Strike.Desc,Clearing 2 or more lines at once multiplies the score by 1.5.,2 ライン以上を同時に消すとスコアが 1.5 倍になります。
Game,Card.Card_First_Picks.Name,First Picks,ファーストピック
Game,Card.Card_First_Picks.Desc,"The first 5 shapes this Milestone are free, but cannot be rotated.",この目標の最初の 5 個は無料ですが、回転できません。
Game,Card.Card_Future_Investment.Name,Future Investment,将来への投資
Game,Card.Card_Future_Investment.Desc,Raises this Milestone's target by 20%. Clear it and the next target drops 15%.,現在の目標を 20% 引き上げます。達成すると次の目標が 15% 下がります。
Game,Card.Card_Gambler.Name,Gambler,ギャンブラー
Game,Card.Card_Gambler.Desc,Each placement has a 20% chance to double its score - or halve it.,配置ごとに 20% の確率で得点が 2 倍、または半分になります。
Game,Card.Card_Ghost_Drop.Name,Ghost Drop,ゴーストドロップ
Game,Card.Card_Ghost_Drop.Desc,A shape placed touching nothing is free. Works 3 times per Milestone.,何にも接していないブロックは無料。目標ごとに 3 回まで。
Game,Card.Card_Heavy_Load.Name,Heavy Load,重い荷物
Game,Card.Card_Heavy_Load.Desc,"Pool capacity +6 shapes, but global score multiplier -0.10.",ブロック所持数 +6、ただし全体スコア倍率 -0.10。
Game,Card.Card_Hoarder.Name,Hoarder,溜め込み屋
Game,Card.Card_Hoarder.Desc,Finish a Milestone with 15 or more shapes left to start the next one with +3 pool capacity.,ブロックを 15 個以上残して目標を達成すると、次の目標を所持数 +3 で始めます。
Game,Card.Card_Hyperfocus.Name,Hyper Focus,ハイパーフォーカス
Game,Card.Card_Hyperfocus.Desc,"Combo multiplier grows twice as fast, but every combo reset costs 2 shapes.",コンボ倍率の上昇が 2 倍になりますが、コンボが切れるたび 2 ブロック失います。
Game,Card.Cart_Line_Master.Name,Line Master,ラインマスター
Game,Card.Cart_Line_Master.Desc,Horizontal clears score 2.5x. Vertical clears score nothing but still hold the combo.,横のラインのみ 2.5 倍で得点。縦のラインは無得点ですがコンボは維持されます。
Game,Card.Card_Momentum.Name,Momentum,勢い
Game,Card.Card_Momentum.Desc,Every line you clear adds +0.05 to your combo multiplier gain.,ライン消去ごとにコンボ増加量が +0.05 されます。
Game,Card.Card_Momentum_Shield.Name,Momentum Shield,モメンタムシールド
Game,Card.Card_Momentum_Shield.Desc,"At 3x combo or higher, an unplaceable shape vanishes instead of ending the run. Your combo drops to minimum.",コンボ 3x 以上なら、置けないブロックはゲーム終了ではなく消滅します。コンボは最小値まで下がります。
Game,Card.Card_Neon_Cable.Name,Neon Cable,ネオンケーブル
Game,Card.Card_Neon_Cable.Desc,Two linked tiles appear on the board. Clearing one detonates the other and its neighbours for score. They move with every new draw.,連結された 2 マスが出現。片方を消すともう片方と周囲が爆発して得点になります。新しいブロックを引くたびに位置が変わります。
Game,Card.Card_Patient.Name,Patient,忍耐
