Key,English,German,Turkish,Italian,French,Polish,Norwegian,Portuguese,Portuguese (Brazil),Castilian Spanish,Spanish (Latin America),Russian,Arabic,Japanese,Korean,Chinese (Simplified),Chinese (Traditional)
Card.Card_Bounty_Hunter.Name,Bounty Hunter,Kopfgeldjäger,Ödül Avcısı,Cacciatore di taglie,Chasseur de primes,Łowca nagród,Dusørjeger,Caçador de recompensas,Caçador de recompensas,Cazarrecompensas,Cazarrecompensas,Охотник за головами,,賞金稼ぎ,현상금 사냥꾼,赏金猎人,賞金獵人
Card.Card_Bounty_Hunter.Desc,"Every line clear grants +1 Blockcoin, but all future Milestone targets rise by 20%.","Jede gelöschte Reihe bringt +1 Blockcoin, aber alle künftigen Ziele steigen um 20%.","Her satır temizliğinde +1 Blockcoin, ama sonraki tüm hedef skorlar %20 artar.","Ogni linea completata dà +1 Blockcoin, ma tutti gli obiettivi futuri salgono del 20%.","Chaque ligne complétée donne +1 Blockcoin, mais tous les objectifs futurs augmentent de 20%.","Każda wyczyszczona linia daje +1 Blockcoin, ale wszystkie przyszłe cele rosną o 20%.","Hver fjernet linje gir +1 Blockcoin, men alle fremtidige mål øker med 20%.","Cada linha limpa dá +1 Blockcoin, mas todos os objetivos futuros sobem 20%.","Cada linha limpa dá +1 Blockcoin, mas todos os objetivos futuros sobem 20%.","Cada línea completada da +1 Blockcoin, pero todos los objetivos futuros suben un 20%.","Cada línea completada da +1 Blockcoin, pero todos los objetivos futuros suben un 20%.","Каждая очищенная линия даёт +1 Blockcoin, но все будущие цели растут на 20%.",,ライン消去ごとに +1 Blockcoin。ただし以降の目標スコアが 20% 上がります。,"줄을 지울 때마다 +1 Blockcoin. 단, 이후 모든 목표 점수가 20% 오릅니다.",每消除一行获得 +1 Blockcoin，但之后所有目标分数提高 20%。,每消除一行獲得 +1 Blockcoin，但之後所有目標分數提高 20%。
Card.Card_Card_Collector.Name,Card Collector,Kartensammler,Kart Koleksiyoncusu,Collezionista,Collectionneur,Kolekcjoner kart,Kortsamler,Colecionador,Colecionador,Coleccionista,Coleccionista,Коллекционер,,カードコレクター,카드 수집가,集卡者,集卡者
Card.Card_Card_Collector.Desc,Each card you own adds +0.02 to your global score multiplier.,"Jede Karte in deinem Besitz erhöht den globalen Punktemultiplikator um 0,02.",Sahip olduğun her kart global skor çarpanına +0.02 ekler.,"Ogni carta posseduta aggiunge 0,02 al moltiplicatore globale.","Chaque carte possédée ajoute 0,02 au multiplicateur de score global.","Każda posiadana karta dodaje 0,02 do globalnego mnożnika punktów.","Hvert kort du eier gir +0,02 til den globale poengmultiplikatoren.","Cada carta que tens adiciona 0,02 ao multiplicador global.","Cada carta que tens adiciona 0,02 ao multiplicador global.","Cada carta que tengas suma 0,02 al multiplicador de puntuación global.","Cada carta que tengas suma 0,02 al multiplicador de puntaje global.","Каждая ваша карта добавляет 0,02 к общему множителю очков.",,所持カード 1 枚につき、全体スコア倍率が +0.02 されます。,보유한 카드 1장마다 전체 점수 배율이 +0.02 증가합니다.,每拥有一张卡牌，全局分数倍率 +0.02。,每擁有一張卡牌，全局分數倍率 +0.02。
Card.Card_Center_Base.Name,Center Base,Zentrumsbasis,Merkez Üs,Base centrale,Base centrale,Baza centralna,Sentrumsbase,Base central,Base central,Base central,Base central,Центральная база,,センターベース,중앙 기지,中心基地,中心基地
Card.Card_Center_Base.Desc,Each tile placed in the center 2x2 area grants +4 points.,Jeder Stein im mittleren 2x2-Bereich bringt +4 Punkte.,Merkezdeki 2x2 alana konan her blok +4 puan verir.,Ogni blocco piazzato nell'area centrale 2x2 dà +4 punti.,Chaque case placée dans la zone centrale 2x2 donne +4 points.,Każdy blok w centralnym obszarze 2x2 daje +4 punkty.,Hver brikke i det midtre 2x2-området gir +4 poeng.,Cada bloco colocado na área central 2x2 dá +4 pontos.,Cada bloco colocado na área central 2x2 dá +4 pontos.,Cada bloque colocado en el área central 2x2 da +4 puntos.,Cada bloque colocado en el área central 2x2 da +4 puntos.,Каждый блок в центральной зоне 2x2 даёт +4 очка.,,中央 2x2 エリアに置いたブロック 1 つにつき +4 点。,중앙 2x2 구역에 놓은 블록마다 +4점.,放在中央 2x2 区域的每个方块 +4 分。,放在中央 2x2 區域的每個方塊 +4 分。
Card.Card_Chain_Master.Name,Chain Master,Kettenmeister,Zincir Ustası,Maestro di catene,Maître des chaînes,Mistrz łańcuchów,Kjedemester,Mestre das correntes,Mestre das correntes,Maestro de cadenas,Maestro de cadenas,Мастер цепей,,チェインマスター,연쇄의 달인,连锁大师,連鎖大師
Card.Card_Chain_Master.Desc,Each consecutive clear permanently adds +0.02 to your combo gain.,"Jede aufeinanderfolgende Reihe erhöht deinen Combo-Zuwachs dauerhaft um 0,02.",Arka arkaya her temizlik kombo kazancına kalıcı +0.02 ekler.,"Ogni linea consecutiva aumenta permanentemente il guadagno combo di 0,02.","Chaque ligne consécutive augmente définitivement votre gain de combo de 0,02.","Każda kolejna linia trwale zwiększa przyrost kombo o 0,02.","Hver linje på rad gir permanent +0,02 til komboøkningen din.","Cada linha consecutiva aumenta permanentemente o ganho de combo em 0,02.","Cada linha consecutiva aumenta permanentemente o ganho de combo em 0,02.","Cada línea consecutiva aumenta permanentemente tu ganancia de combo en 0,02.","Cada línea consecutiva aumenta permanentemente tu ganancia de combo en 0,02.","Каждая линия подряд навсегда увеличивает прирост комбо на 0,02.",,連続でラインを消すたび、コンボ増加量が永続的に +0.02 されます。,연속으로 줄을 지울 때마다 콤보 증가량이 영구적으로 +0.02 됩니다.,每次连续消行都会永久提升连击增益 0.02。,每次連續消行都會永久提升連擊增益 0.02。
Card.Card_Combo_Shield.Name,Combo Shield,Combo-Schild,Kombo Kalkanı,Scudo combo,Bouclier de combo,Tarcza kombo,Komboskjold,Escudo de combo,Escudo de combo,Escudo de combo,Escudo de combo,Щит комбо,,コンボシールド,콤보 실드,连击护盾,連擊護盾
Card.Card_Combo_Shield.Desc,"Once per run, your combo survives when the charge bar empties.","Einmal pro Lauf bleibt dein Combo erhalten, wenn die Leiste leer wird.","Tur başına bir kez, şarj barı boşaldığında kombon sıfırlanmaz.","Una volta per run, il combo sopravvive quando la barra si svuota.","Une fois par partie, votre combo survit quand la jauge se vide.",Raz na rozgrywkę kombo przetrwa opróżnienie paska.,Én gang per runde overlever komboen når ladelinjen tømmes.,"Uma vez por jornada, o teu combo sobrevive quando a barra esvazia.","Uma vez por jornada, o seu combo sobrevive quando a barra esvazia.","Una vez por partida, tu combo sobrevive cuando la barra se vacía.","Una vez por partida, tu combo sobrevive cuando la barra se vacía.",Один раз за забег комбо не сбрасывается при опустевшей шкале.,,1 ラン中 1 回、ゲージが空になってもコンボが維持されます。,"판당 1회, 게이지가 비어도 콤보가 유지됩니다.",每局一次，能量条清空时连击不会中断。,每局一次，能量條清空時連擊不會中斷。
Card.Card_Corner_Stone.Name,Corner Stone,Eckstein,Köşe Taşı,Pietra angolare,Pierre angulaire,Kamień węgielny,Hjørnestein,Pedra angular,Pedra angular,Piedra angular,Piedra angular,Краеугольный камень,,コーナーストーン,모퉁이돌,基石,基石
Card.Card_Corner_Stone.Desc,Each tile placed on one of the four corners grants +3 points.,Jeder Stein auf einer der vier Ecken bringt +3 Punkte.,Dört köşeden birine konan her blok +3 puan verir.,Ogni blocco piazzato in uno dei quattro angoli dà +3 punti.,Chaque case placée sur l'un des quatre coins donne +3 points.,Każdy blok w jednym z czterech rogów daje +3 punkty.,Hver brikke i et av de fire hjørnene gir +3 poeng.,Cada bloco colocado num dos quatro cantos dá +3 pontos.,Cada bloco colocado num dos quatro cantos dá +3 pontos.,Cada bloque colocado en una de las cuatro esquinas da +3 puntos.,Cada bloque colocado en una de las cuatro esquinas da +3 puntos.,Каждый блок в одном из четырёх углов даёт +3 очка.,,四隅のいずれかに置いたブロック 1 つにつき +3 点。,네 모서리 중 한 곳에 놓은 블록마다 +3점.,放在四个角落的每个方块 +3 分。,放在四個角落的每個方塊 +3 分。
Card.Card_Decaying_Rift.Name,Decaying Rift,Zerfallender Riss,Çürüyen Yarık,Fenditura in decadenza,Faille en décomposition,Rozpadająca się szczelina,Forfallende rift,Fenda em decomposição,Fenda em decomposição,Grieta en descomposición,Grieta en descomposición,Распадающийся разлом,,崩壊する亀裂,붕괴하는 균열,衰变裂隙,衰變裂隙
Card.Card_Decaying_Rift.Desc,"Every 7 shapes, a rift opens with a 5-placement countdown. Clear it for +2 pool shapes; let it hit 0 and the tile is blocked for the rest of the Milestone.","Alle 7 Formen öffnet sich ein Riss mit 5 Zügen Countdown. Räume ihn für +2 Formen; läuft er ab, ist das Feld bis zum Ende des Ziels gesperrt.","Her 7 şekilde bir, 5 hamlelik geri sayımı olan bir yarık açılır. Temizlersen havuza +2 şekil; 0'a inerse o hücre hedefin sonuna kadar kapanır.","Ogni 7 forme si apre una fenditura con 5 mosse di conto alla rovescia. Puliscila per +2 forme; se scade, la cella resta bloccata fino a fine obiettivo.","Toutes les 7 formes, une faille s'ouvre avec un compte à rebours de 5 coups. Nettoyez-la pour +2 formes ; sinon la case est bloquée jusqu'à la fin de l'objectif.",Co 7 kształtów otwiera się szczelina z 5-ruchowym odliczaniem. Wyczyść ją dla +2 kształtów; po zejściu do zera pole jest zablokowane do końca celu.,"For hver 7. brikke åpnes en rift med 5 trekks nedtelling. Fjern den for +2 brikker; hvis den når null, blir ruten sperret ut målet.","A cada 7 formas abre-se uma fenda com contagem de 5 jogadas. Limpa-a para +2 formas; se chegar a zero, a célula fica bloqueada até ao fim do objetivo.","A cada 7 formas abre-se uma fenda com contagem de 5 jogadas. Limpe-a para +2 formas; se chegar a zero, a célula fica bloqueada até ao fim do objetivo.","Cada 7 figuras se abre una grieta con cuenta atrás de 5 jugadas. Límpiala para +2 figuras; si llega a cero, la casilla queda bloqueada hasta el final del objetivo.","Cada 7 piezas se abre una grieta con cuenta atrás de 5 jugadas. Límpiala para +2 piezas; si llega a cero, la casilla queda bloqueada hasta el final del objetivo.","Каждые 7 фигур открывается разлом с отсчётом на 5 ходов. Очистите его ради +2 фигур; если отсчёт истечёт, клетка блокируется до конца цели.",,7 個ごとに亀裂が出現し、5 手のカウントダウンが始まります。消せば +2 ブロック、0 になるとその目標が終わるまでマスが封鎖されます。,"블록 7개마다 5수 카운트다운이 있는 균열이 생깁니다. 지우면 +2 블록, 0이 되면 해당 목표가 끝날 때까지 칸이 막힙니다.",每放置 7 个方块出现一道裂隙，倒数 5 步。消除它可获得 +2 方块；归零则该格封锁至本目标结束。,每放置 7 個方塊出現一道裂隙，倒數 5 步。消除它可獲得 +2 方塊；歸零則該格封鎖至本目標結束。
Card.Diet_plan.Name,Diet Plan,Diätplan,Diyet Planı,Piano dietetico,Régime,Dieta,Slankeplan,Plano de dieta,Plano de dieta,Plan de dieta,Plan de dieta,Диета,,ダイエット計画,다이어트 계획,减肥计划,減肥計劃
Card.Diet_plan.Desc,"This Milestone only spawns size 2-3 shapes, but their scores drop by 20%.","In diesem Ziel erscheinen nur Formen der Größe 2-3, aber ihre Punkte sinken um 20%.","Bu hedefte sadece 2-3 birimlik şekiller gelir, ama puanları %20 düşer.","In questo obiettivo appaiono solo forme di dimensione 2-3, ma i loro punti calano del 20%.","Pendant cet objectif, seules des formes de taille 2-3 apparaissent, mais leurs points baissent de 20%.","W tym celu pojawiają się tylko kształty o rozmiarze 2-3, ale ich punkty spadają o 20%.","Dette målet gir bare brikker på 2-3 ruter, men poengene deres synker 20%.","Neste objetivo só aparecem formas de tamanho 2-3, mas os pontos descem 20%.","Neste objetivo só aparecem formas de tamanho 2-3, mas os pontos descem 20%.","Durante este objetivo solo aparecen figuras de tamaño 2-3, pero sus puntos bajan un 20%.","Durante este objetivo solo aparecen piezas de tamaño 2-3, pero sus puntos bajan un 20%.","В этой цели появляются только фигуры размера 2-3, но их очки снижаются на 20%.",,この目標では 2〜3 マスのブロックのみ出現しますが、得点が 20% 下がります。,이 목표에서는 2~3칸 블록만 나오지만 점수가 20% 감소합니다.,本目标只出现 2-3 格的方块，但它们的分数降低 20%。,本目標只出現 2-3 格的方塊，但它們的分數降低 20%。
