Sheet,Key,English,Chinese (Simplified)
Game,Card.Card_Bounty_Hunter.Name,Bounty Hunter,赏金猎人
Game,Card.Card_Bounty_Hunter.Desc,"Every line clear grants +1 Blockcoin, but all future Milestone targets rise by 20%.",每消除一行获得 +1 Blockcoin，但之后所有目标分数提高 20%。
Game,Card.Card_Card_Collector.Name,Card Collector,集卡者
Game,Card.Card_Card_Collector.Desc,Each card you own adds +0.02 to your global score multiplier.,每拥有一张卡牌，全局分数倍率 +0.02。
Game,Card.Card_Center_Base.Name,Center Base,中心基地
Game,Card.Card_Center_Base.Desc,Each tile placed in the center 2x2 area grants +4 points.,放在中央 2x2 区域的每个方块 +4 分。
Game,Card.Card_Chain_Master.Name,Chain Master,连锁大师
Game,Card.Card_Chain_Master.Desc,Each consecutive clear permanently adds +0.02 to your combo gain.,每次连续消行都会永久提升连击增益 0.02。
Game,Card.Card_Combo_Shield.Name,Combo Shield,连击护盾
Game,Card.Card_Combo_Shield.Desc,"Once per run, your combo survives when the charge bar empties.",每局一次，能量条清空时连击不会中断。
Game,Card.Card_Corner_Stone.Name,Corner Stone,基石
Game,Card.Card_Corner_Stone.Desc,Each tile placed on one of the four corners grants +3 points.,放在四个角落的每个方块 +3 分。
Game,Card.Card_Decaying_Rift.Name,Decaying Rift,衰变裂隙
Game,Card.Card_Decaying_Rift.Desc,"Every 7 shapes, a rift opens with a 5-placement countdown. Clear it for +2 pool shapes; let it hit 0 and the tile is blocked for the rest of the Milestone.",每放置 7 个方块出现一道裂隙，倒数 5 步。消除它可获得 +2 方块；归零则该格封锁至本目标结束。
Game,Card.Diet_plan.Name,Diet Plan,减肥计划
Game,Card.Diet_plan.Desc,"This Milestone only spawns size 2-3 shapes, but their scores drop by 20%.",本目标只出现 2-3 格的方块，但它们的分数降低 20%。
Game,Card.Card_Double_Strike.Name,Double Strike,双重打击
Game,Card.Card_Double_Strike.Desc,Clearing 2 or more lines at once multiplies the score by 1.5.,一次消除 2 行或以上，分数 ×1.5。
Game,Card.Card_First_Picks.Name,First Picks,首选
Game,Card.Card_First_Picks.Desc,"The first 5 shapes this Milestone are free, but cannot be rotated.",本目标的前 5 个方块免费，但不能旋转。
Game,Card.Card_Future_Investment.Name,Future Investment,未来投资
Game,Card.Card_Future_Investment.Desc,Raises this Milestone's target by 20%. Clear it and the next target drops 15%.,当前目标提高 20%。若达成，下个目标降低 15%。
Game,Card.Card_Gambler.Name,Gambler,赌徒
Game,Card.Card_Gambler.Desc,Each placement has a 20% chance to double its score - or halve it.,每次放置有 20% 概率使分数翻倍——或减半。
Game,Card.Card_Ghost_Drop.Name,Ghost Drop,幽灵放置
Game,Card.Card_Ghost_Drop.Desc,A shape placed touching nothing is free. Works 3 times per Milestone.,不接触任何方块的放置免费。每目标 3 次。
Game,Card.Card_Heavy_Load.Name,Heavy Load,重负
Game,Card.Card_Heavy_Load.Desc,"Pool capacity +6 shapes, but global score multiplier -0.10.",方块储备 +6，但全局分数倍率 -0.10。
Game,Card.Card_Hoarder.Name,Hoarder,囤积者
Game,Card.Card_Hoarder.Desc,Finish a Milestone with 15 or more shapes left to start the next one with +3 pool capacity.,以剩余 15 个及以上方块完成目标，下个目标储备 +3 开局。
Game,Card.Card_Hyperfocus.Name,Hyper Focus,超专注
Game,Card.Card_Hyperfocus.Desc,"Combo multiplier grows twice as fast, but every combo reset costs 2 shapes.",连击倍率增长翻倍，但每次连击中断损失 2 个方块。
Game,Card.Cart_Line_Master.Name,Line Master,横行大师
Game,Card.Cart_Line_Master.Desc,Horizontal clears score 2.5x. Vertical clears score nothing but still hold the combo.,只有横行计分（2.5 倍）。竖列不计分但保持连击。
Game,Card.Card_Momentum.Name,Momentum,势头
Game,Card.Card_Momentum.Desc,Every line you clear adds +0.05 to your combo multiplier gain.,每消除一行，连击增益 +0.05。
Game,Card.Card_Momentum_Shield.Name,Momentum Shield,势头护盾
