Key,English,German,Turkish,Italian,French,Polish,Norwegian,Portuguese,Portuguese (Brazil),Castilian Spanish,Spanish (Latin America),Russian,Arabic,Japanese,Korean,Chinese (Simplified),Chinese (Traditional)
Language.English,English,English,English,English,English,English,English,English,English,English,English,English,,English,English,English,English
Language.Turkish,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,,Türkçe,Türkçe,Türkçe,Türkçe
Language.German,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,,Deutsch,Deutsch,Deutsch,Deutsch
Settings.Title,SETTINGS,EINSTELLUNGEN,AYARLAR,IMPOSTAZIONI,PARAMÈTRES,USTAWIENIA,INNSTILLINGER,DEFINIÇÕES,CONFIGURAÇÕES,AJUSTES,CONFIGURACIÓN,НАСТРОЙКИ,,設定,설정,设置,設置
Settings.Section.Audio,AUDIO,AUDIO,SES,AUDIO,AUDIO,DŹWIĘK,LYD,ÁUDIO,ÁUDIO,SONIDO,SONIDO,ЗВУК,,オーディオ,오디오,音频,音頻
Settings.Section.Display,DISPLAY,ANZEIGE,GÖRÜNTÜ,SCHERMO,AFFICHAGE,EKRAN,SKJERM,ECRÃ,TELA,PANTALLA,PANTALLA,ЭКРАН,,画面,화면,显示,顯示
Settings.Section.Gameplay,GAMEPLAY,SPIEL,OYNANIŞ,GIOCO,JEU,ROZGRYWKA,SPILL,JOGO,JOGO,JUEGO,JUEGO,ИГРА,,ゲームプレイ,게임플레이,玩法,玩法
Settings.Section.Accessibility,ACCESSIBILITY,BARRIEREFREIHEIT,ERİŞİLEBİLİRLİK,ACCESSIBILITÀ,ACCESSIBILITÉ,DOSTĘPNOŚĆ,TILGJENGELIGHET,ACESSIBILIDADE,ACESSIBILIDADE,ACCESIBILIDAD,ACCESIBILIDAD,ДОСТУПНОСТЬ,,アクセシビリティ,접근성,辅助功能,輔助功能
Settings.Section.Language,LANGUAGE,SPRACHE,DİL,LINGUA,LANGUE,JĘZYK,SPRÅK,IDIOMA,IDIOMA,IDIOMA,IDIOMA,ЯЗЫК,,言語,언어,语言,語言
Settings.Section.Data,DATA,DATEN,VERİ,DATI,DONNÉES,DANE,DATA,DADOS,DADOS,DATOS,DATOS,ДАННЫЕ,,データ,데이터,数据,數據
Settings.Audio.Master,Master Volume,Gesamtlautstärke,Ana Ses,Volume generale,Volume général,Głośność główna,Hovedvolum,Volume principal,Volume principal,Volumen general,Volumen general,Общая громкость,,マスター音量,전체 음량,主音量,主音量
Settings.Audio.Music,Music,Musik,Müzik,Musica,Musique,Muzyka,Musikk,Música,Música,Música,Música,Музыка,,音楽,음악,音乐,音樂
Settings.Audio.Sfx,Sound Effects,Soundeffekte,Ses Efektleri,Effetti sonori,Effets sonores,Efekty dźwiękowe,Lydeffekter,Efeitos sonoros,Efeitos sonoros,Efectos de sonido,Efectos de sonido,Звуковые эффекты,,効果音,효과음,音效,音效
Settings.Audio.Mute,Mute All,Alles stummschalten,Tümünü Sustur,Disattiva tutto,Tout couper,Wycisz wszystko,Demp alt,Silenciar tudo,Silenciar tudo,Silenciar todo,Silenciar todo,Отключить весь звук,,すべてミュート,전체 음소거,全部静音,全部靜音
